14:34:33: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 51] Logger initialized
14:34:33: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 89] avg velocity for trip: 0.0,0.0,4.0
14:34:33: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 89] avg velocity for trip: 0.0,0.0,1.0
14:34:34: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 89] avg velocity for trip: 0.0,0.0,0.6666666666666666
14:34:34: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 89] avg velocity for trip: 0.0,0.0,0.5
14:34:35: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 89] avg velocity for trip: 0.0,0.0,0.4
14:34:35: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 89] avg velocity for trip: 0.0,0.0,0.3333333333333333
14:34:36: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 89] avg velocity for trip: 0.0,0.0,0.2857142857142857
14:34:36: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 89] avg velocity for trip: 0.0,2.5,0.25
14:34:37: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 89] avg velocity for trip: 0.0,4.444444444444445,0.2222222222222222
14:34:37: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 89] avg velocity for trip: 0.0,6.0,0.2
14:34:38: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 89] avg velocity for trip: 1.8181818181818181,5.454545454545454,0.18181818181818182
14:34:38: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 89] avg velocity for trip: 3.3333333333333335,5.0,0.16666666666666666
14:34:39: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 89] avg velocity for trip: 4.615384615384615,4.615384615384615,0.15384615384615385
14:34:39: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 89] avg velocity for trip: 4.285714285714286,2.857142857142857,0.14285714285714285
14:34:40: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 89] avg velocity for trip: 4.0,1.3333333333333333,0.13333333333333333
14:34:40: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 89] avg velocity for trip: 3.75,0.0,0.125
14:34:41: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 89] avg velocity for trip: 2.3529411764705883,0.0,0.11764705882352941
14:34:41: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 89] avg velocity for trip: 1.1111111111111112,0.0,0.1111111111111111
14:34:42: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 89] avg velocity for trip: 0.0,0.0,0.10526315789473684
14:34:42: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 89] avg velocity for trip: 0.0,1.0,0.1
14:34:43: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 89] avg velocity for trip: 0.0,1.9047619047619047,0.09523809523809523
14:34:43: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 89] avg velocity for trip: 0.0,2.727272727272727,0.09090909090909091
14:34:44: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 89] avg velocity for trip: 0.8695652173913043,2.608695652173913,0.08695652173913043
14:34:44: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 89] avg velocity for trip: 1.6666666666666667,2.5,0.08333333333333333
14:34:45: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 89] avg velocity for trip: 2.4,2.4,0.08
14:34:45: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 89] avg velocity for trip: 2.3076923076923075,1.5384615384615385,0.07692307692307693
14:34:46: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 89] avg velocity for trip: 2.2222222222222223,0.7407407407407407,0.07407407407407407
14:34:46: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 89] avg velocity for trip: 2.142857142857143,0.0,0.07142857142857142
14:34:47: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 89] avg velocity for trip: 1.3793103448275863,0.0,0.06896551724137931
14:34:47: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 89] avg velocity for trip: 0.6666666666666666,0.0,0.06666666666666667
14:34:48: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 89] avg velocity for trip: 0.0,0.0,0.06451612903225806
