13:57:04: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 51] Logger initialized
13:57:04: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 88] avg velocity for trip: 0.0,0.0,4.0
13:57:04: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 88] avg velocity for trip: 0.0,0.0,1.0
13:57:05: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 88] avg velocity for trip: 0.0,0.0,0.6666666666666666
13:57:05: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 88] avg velocity for trip: 0.0,0.0,0.5
13:57:06: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 88] avg velocity for trip: 0.0,0.0,0.4
13:57:06: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 88] avg velocity for trip: 0.0,0.0,0.3333333333333333
13:57:07: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 88] avg velocity for trip: 0.0,0.0,0.2857142857142857
13:57:07: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 88] avg velocity for trip: 0.0,2.5,0.25
13:57:08: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 88] avg velocity for trip: 0.0,4.444444444444445,0.2222222222222222
13:57:08: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 88] avg velocity for trip: 0.0,6.0,0.2
13:57:09: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 88] avg velocity for trip: 1.8181818181818181,5.454545454545454,0.18181818181818182
13:57:09: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 88] avg velocity for trip: 3.3333333333333335,5.0,0.16666666666666666
13:57:10: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 88] avg velocity for trip: 4.615384615384615,4.615384615384615,0.15384615384615385
13:57:10: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 88] avg velocity for trip: 4.285714285714286,2.857142857142857,0.14285714285714285
13:57:11: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 88] avg velocity for trip: 4.0,1.3333333333333333,0.13333333333333333
13:57:11: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 88] avg velocity for trip: 3.75,0.0,0.125
13:57:12: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 88] avg velocity for trip: 2.3529411764705883,0.0,0.11764705882352941
13:57:12: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 88] avg velocity for trip: 1.1111111111111112,0.0,0.1111111111111111
13:57:13: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 88] avg velocity for trip: 0.0,0.0,0.10526315789473684
13:57:13: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 88] avg velocity for trip: 0.0,1.0,0.1
13:57:14: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 88] avg velocity for trip: 0.0,1.9047619047619047,0.09523809523809523
13:57:14: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 88] avg velocity for trip: 0.0,2.727272727272727,0.09090909090909091
13:57:15: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 88] avg velocity for trip: 0.8695652173913043,2.608695652173913,0.08695652173913043
13:57:15: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 88] avg velocity for trip: 1.6666666666666667,2.5,0.08333333333333333
13:57:16: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 88] avg velocity for trip: 2.4,2.4,0.08
13:57:16: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 88] avg velocity for trip: 2.3076923076923075,1.5384615384615385,0.07692307692307693
13:57:17: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 88] avg velocity for trip: 2.2222222222222223,0.7407407407407407,0.07407407407407407
13:57:17: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 88] avg velocity for trip: 2.142857142857143,0.0,0.07142857142857142
13:57:18: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 88] avg velocity for trip: 1.3793103448275863,0.0,0.06896551724137931
13:57:18: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 88] avg velocity for trip: 0.6666666666666666,0.0,0.06666666666666667
13:57:19: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 88] avg velocity for trip: 0.0,0.0,0.06451612903225806
